Lagerstroemia indica, not metaphorical, multiword expression
Tropaeolum tuberosum var, not metaphorical, multiword expression
AngelMist Lavender Stripe, metaphorical, multiword expression
Melaleuca viridiflora var. Rubriflora, not metaphorical, multiword expression
Vaccinium angustifolium var. laevifolium, not metaphorical, multiword expression
Arbutus menziesii, not metaphorical, multiword expression
Pachyphragma macrophyllum, not metaphorical, multiword expression
Chionochloa rubra, metaphorical, multiword expression
Polygala chamaebuxus, not metaphorical, multiword expression
Gloria, metaphorical, not multiword expression
Osteospermum jucundum, metaphorical, multiword expression
Corylopsis glabrescens, not metaphorical, multiword expression
HS Kiss, metaphorical, multiword expression
Protea cynaroides, not metaphorical, multiword expression
Salix caprea, not metaphorical, multiword expression
Serbian spruce, not metaphorical, multiword expression
Solidago, metaphorical, not multiword expression
Rosie, not metaphorical, not multiword expression
Artemisia arborescens, not metaphorical, multiword expression
Drosera capensis, not metaphorical, multiword expression
Confederate jasmine, not metaphorical, multiword expression
Sunningdale silver, metaphorical, multiword expression
Pieris nana, metaphorical, multiword expression
Cyclamen africanum, not metaphorical, multiword expression
Acacia verticillata, not metaphorical, multiword expression
Aureola, metaphorical, not multiword expression
Corsage Red, not metaphorical, multiword expression
Corydalis diphylla, not metaphorical, multiword expression
George Baker, not metaphorical, multiword expression
Allium cristophii, not metaphorical, multiword expression
Abeliophyllum, not metaphorical, not multiword expression
Chewalibaba, not metaphorical, not multiword expression
Emmenopterys henryi, not metaphorical, multiword expression
Warminster, not metaphorical, not multiword expression
Sophora japonica, not metaphorical, multiword expression
Golden Ducat, metaphorical, multiword expression
European larch, not metaphorical, multiword expression
Coelogyne nitida, metaphorical, multiword expression
Kalopanax septemlobus, not metaphorical, multiword expression
Agonis, not metaphorical, not multiword expression
Cappadocian maple, not metaphorical, multiword expression
Doubledecker, metaphorical, not multiword expression
Agavaceae, not metaphorical, multiword expression
Calanthe striata, not metaphorical, multiword expression
Lilliput, not metaphorical, not multiword expression
Fireworks, metaphorical, not multiword expression
Aphelandra squarrosa, not metaphorical, multiword expression
Pamianthe peruviana, not metaphorical, multiword expression
Wisley Primrose, metaphorical, multiword expression
Eryngium x tripartitum, metaphorical, multiword expression
Snowy woodrush, metaphorical, multiword expression
Mandevilla x amabilis, metaphorical, multiword expression
Lobelia, not metaphorical, not multiword expression
Newry Blue, not metaphorical, multiword expression
False spikenard, metaphorical, multiword expression
Chilean potato tree, not metaphorical, multiword expression
Lonicera xylosteum, not metaphorical, multiword expression
Galileo, not metaphorical, not multiword expression
Major, metaphorical, not multiword expression
Herzog von Sagan, not metaphorical, multiword expression
Alba, not metaphorical, not multiword expression
Brunnera macrophylla, not metaphorical, multiword expression
Oenothera macrocarpa, not metaphorical, multiword expression
Olearia macrodonta, not metaphorical, multiword expression
D. grandiﬂorum, not metaphorical, multiword expression
Tulips, not metaphorical, not multiword expression
Oxydendrum arboreum, not metaphorical, multiword expression
William Pfitzer, not metaphorical, multiword expression
Inula magniﬁca, metaphorical, multiword expression
Synthyris missurica var. stellate, not metaphorical, multiword expression
Bressingham, not metaphorical, not multiword expression
Pulsatilla, not metaphorical, not multiword expression
Fragrant bouquet, metaphorical, multiword expression
Cherry cheeks, metaphorical, multiword expression
Century plant, metaphorical, multiword expression
Androsace villosa, not metaphorical, multiword expression
Fargesia nitidam, metaphorical, multiword expression
Dianella tasmanica, not metaphorical, multiword expression
Catharanthus roseus Boa Series, not metaphorical, multiword expression
Geisha Girl, metaphorical, multiword expression
Trouble, not metaphorical, not multiword expression
Loddon Blue, not metaphorical, multiword expression
Violacea, not metaphorical, not multiword expression
Agastache, metaphorical, not multiword expression
Common myrtle, not metaphorical, multiword expression
September Charm, metaphorical, multiword expression
Crinodendron patagua, not metaphorical, multiword expression
Libertia ixioides, metaphorical, multiword expression
Blechnum chilense, not metaphorical, multiword expression
Inupyel, not metaphorical, not multiword expression
Hedera, not metaphorical, not multiword expression
Lantern tree, metaphorical, multiword expression
Santolina pinnata subsp. neapolitana, not metaphorical, multiword expression
Asteranthera ovata, not metaphorical, multiword expression
Ixia viridiﬂora, not metaphorical, multiword expression
Wisteria sinensis, not metaphorical, multiword expression
Solanum wendlandii, metaphorical, multiword expression
Crassula ovata, not metaphorical, multiword expression
Grayswood Ghost, metaphorical, multiword expression
Paul’s Lemon Pillar, not metaphorical, multiword expression
Reseda, not metaphorical, not multiword expression
Double trouble, metaphorical, multiword expression
King protea, not metaphorical, multiword expression
Polygonaceae, not metaphorical, not multiword expression
Calendula officinalis, not metaphorical, multiword expression
Symphytum x uplandicum, not metaphorical, multiword expression
Extra, not metaphorical, not multiword expression
Moonshine, metaphorical, not multiword expression
Pachycereus marginatus, metaphorical, multiword expression
Mandragora ofﬁcinarum, not metaphorical, multiword expression
Jasminum polyanthum, not metaphorical, multiword expression
Tilia cordata, not metaphorical, multiword expression
Microphylla, not metaphorical, not multiword expression
Laxiﬂorum, not metaphorical, not multiword expression
Sisyrinchium idahoense, not metaphorical, multiword expression
Agave parryi, not metaphorical, multiword expression
Devon flavia, not metaphorical, multiword expression
Esther read, metaphorical, multiword expression
Dipcadi serotinum, not metaphorical, multiword expression
American Star, metaphorical, multiword expression
Expo Pink, not metaphorical, multiword expression
The Fairy, metaphorical, multiword expression
Hoheria lyallii, not metaphorical, multiword expression
Alonsoa warscewiczii, not metaphorical, multiword expression
Kirengeshoma palmata, not metaphorical, multiword expression
Androsace villosa var. Jacquemontii, not metaphorical, multiword expression
Calliandra eriophylla, not metaphorical, multiword expression
The Bride, metaphorical, multiword expression
Widow iris, metaphorical, multiword expression
Bastard balm, metaphorical, multiword expression
Sunrise horse-chestnut, metaphorical, multiword expression
Nemesia, not metaphorical, not multiword expression
Cyclamen coum Pewter Group, not metaphorical, multiword expression
Daphniphyllum macropodum, not metaphorical, multiword expression
Osmanthus, not metaphorical, not multiword expression
Ulyssis, metaphorical, not multiword expression
Bonﬁre, metaphorical, not multiword expression
Osmunda regalis, metaphorical, multiword expression
Thymus caespititius, not metaphorical, multiword expression
Tricyrtis formosana, not metaphorical, multiword expression
Buckeye, metaphorical, not multiword expression
Douler angevine, metaphorical, multiword expression
Corn cockle, metaphorical, multiword expression
Lithops marmorata, not metaphorical, multiword expression
Myrtillocactus geometrizans, not metaphorical, multiword expression
Dorothy Teacher, not metaphorical, multiword expression
Betula pendula, metaphorical, multiword expression
Picasso, metaphorical, not multiword expression
C. kousa, not metaphorical, multiword expression
Trollius europaeus, not metaphorical, multiword expression
Heathers, not metaphorical, not multiword expression
Primula florindae, not metaphorical, multiword expression
Golden Starlet, metaphorical, multiword expression
Leucojum aestivum, not metaphorical, multiword expression
Potentilla fruticose, metaphorical, multiword expression
Chocolate cosmos, metaphorical, multiword expression
Snake-bark maple, metaphorical, multiword expression
Cassiope tetragona, not metaphorical, multiword expression
Leucospermum reﬂexum, not metaphorical, multiword expression
Oberon, not metaphorical, not multiword expression
HS Wink, metaphorical, multiword expression
Allium unifolium, not metaphorical, multiword expression
Papilionaceae, not metaphorical, not multiword expression
Cedar of Lebanon, not metaphorical, multiword expression
Paphiopedilum Buckhurst gx, metaphorical, multiword expression
Stricta, metaphorical, not multiword expression
Lilacs, not metaphorical, not multiword expression
Aquilegia alpine, not metaphorical, multiword expression
Allium cowanii, not metaphorical, multiword expression
